Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
80,15,4,39,7,Some Random Commen with Id 80
81,16,4,107,1,Some Random Commen with Id 81
82,16,4,34,1,Some Random Commen with Id 82
83,17,0,83,1,Some Random Commen with Id 83
84,17,0,18,8,Some Random Commen with Id 84
85,17,0,103,7,Some Random Commen with Id 85
86,18,9,22,9,Some Random Commen with Id 86
87,18,9,192,8,Some Random Commen with Id 87
88,18,9,34,7,Some Random Commen with Id 88
89,18,9,96,9,Some Random Commen with Id 89
90,19,1,124,9,Some Random Commen with Id 90
91,19,1,16,3,Some Random Commen with Id 91
92,19,1,163,9,Some Random Commen with Id 92
93,19,1,111,4,Some Random Commen with Id 93
94,19,1,24,8,Some Random Commen with Id 94
95,19,1,28,7,Some Random Commen with Id 95
96,19,1,26,5,Some Random Commen with Id 96
97,19,1,47,4,Some Random Commen with Id 97
98,19,1,45,3,Some Random Commen with Id 98
99,20,7,164,5,Some Random Commen with Id 99
100,20,7,128,2,Some Random Commen with Id 100
101,20,7,80,2,Some Random Commen with Id 101
102,21,8,186,4,Some Random Commen with Id 102
103,21,8,71,7,Some Random Commen with Id 103
104,21,8,137,2,Some Random Commen with Id 104
105,21,8,24,2,Some Random Commen with Id 105
106,22,7,4,0,Some Random Commen with Id 106
107,23,0,151,0,Some Random Commen with Id 107
108,23,0,158,7,Some Random Commen with Id 108
109,23,0,43,2,Some Random Commen with Id 109
110,23,0,40,1,Some Random Commen with Id 110
111,24,3,33,4,Some Random Commen with Id 111
112,24,3,166,5,Some Random Commen with Id 112
113,24,3,78,5,Some Random Commen with Id 113
114,25,8,108,9,Some Random Commen with Id 114
115,25,8,109,0,Some Random Commen with Id 115
116,25,8,177,2,Some Random Commen with Id 116
117,25,8,56,1,Some Random Commen with Id 117
118,25,8,83,6,Some Random Commen with Id 118
119,25,8,64,2,Some Random Commen with Id 119
120,25,8,57,9,Some Random Commen with Id 120
121,25,8,37,8,Some Random Commen with Id 121
122,26,4,88,8,Some Random Commen with Id 122
123,26,4,185,6,Some Random Commen with Id 123
124,26,4,67,6,Some Random Commen with Id 124
125,26,4,142,3,Some Random Commen with Id 125
126,26,4,60,9,Some Random Commen with Id 126
127,27,8,188,8,Some Random Commen with Id 127
128,27,8,115,2,Some Random Commen with Id 128
129,27,8,143,2,Some Random Commen with Id 129
130,28,3,42,9,Some Random Commen with Id 130
131,28,3,95,4,Some Random Commen with Id 131
132,28,3,36,4,Some Random Commen with Id 132
133,28,3,133,8,Some Random Commen with Id 133
134,28,3,27,5,Some Random Commen with Id 134
135,28,3,8,5,Some Random Commen with Id 135
136,28,3,164,2,Some Random Commen with Id 136
137,28,3,90,0,Some Random Commen with Id 137
138,28,3,87,4,Some Random Commen with Id 138
139,29,6,28,9,Some Random Commen with Id 139
140,29,6,12,9,Some Random Commen with Id 140
141,29,6,134,5,Some Random Commen with Id 141
142,29,6,66,9,Some Random Commen with Id 142
143,29,6,122,5,Some Random Commen with Id 143
144,29,6,56,4,Some Random Commen with Id 144
145,30,1,40,3,Some Random Commen with Id 145
146,30,1,6,6,Some Random Commen with Id 146
147,30,1,185,8,Some Random Commen with Id 147
148,30,1,125,1,Some Random Commen with Id 148
149,30,1,183,9,Some Random Commen with Id 149
150,31,5,104,0,Some Random Commen with Id 150
151,31,5,179,6,Some Random Commen with Id 151
152,31,5,53,9,Some Random Commen with Id 152
153,31,5,5,0,Some Random Commen with Id 153
154,32,3,77,6,Some Random Commen with Id 154
155,32,3,197,8,Some Random Commen with Id 155
156,32,3,9,6,Some Random Commen with Id 156
157,32,3,96,4,Some Random Commen with Id 157
158,32,3,80,9,Some Random Commen with Id 158
159,32,3,10,9,Some Random Commen with Id 159
160,32,3,186,8,Some Random Commen with Id 160
161,33,8,15,0,Some Random Commen with Id 161
162,33,8,171,9,Some Random Commen with Id 162
163,33,8,96,3,Some Random Commen with Id 163
164,33,8,94,6,Some Random Commen with Id 164
165,33,8,36,4,Some Random Commen with Id 165
166,33,8,39,0,Some Random Commen with Id 166
167,34,4,71,8,Some Random Commen with Id 167
168,34,4,167,6,Some Random Commen with Id 168
169,34,4,96,1,Some Random Commen with Id 169
170,34,4,137,4,Some Random Commen with Id 170
171,34,4,178,0,Some Random Commen with Id 171
172,34,4,83,7,Some Random Commen with Id 172
173,35,9,99,5,Some Random Commen with Id 173
174,35,9,119,7,Some Random Commen with Id 174
175,35,9,61,3,Some Random Commen with Id 175
176,35,9,42,0,Some Random Commen with Id 176
177,35,9,55,8,Some Random Commen with Id 177
178,35,9,121,1,Some Random Commen with Id 178
179,35,9,86,0,Some Random Commen with Id 179
180,35,9,120,1,Some Random Commen with Id 180
181,36,7,86,8,Some Random Commen with Id 181
182,36,7,78,0,Some Random Commen with Id 182
183,36,7,135,0,Some Random Commen with Id 183
184,36,7,69,7,Some Random Commen with Id 184
185,36,7,195,3,Some Random Commen with Id 185
186,37,3,74,0,Some Random Commen with Id 186
187,37,3,141,9,Some Random Commen with Id 187
188,37,3,90,0,Some Random Commen with Id 188
189,37,3,59,2,Some Random Commen with Id 189
190,37,3,94,9,Some Random Commen with Id 190
191,37,3,13,7,Some Random Commen with Id 191
192,37,3,53,1,Some Random Commen with Id 192
193,37,3,61,5,Some Random Commen with Id 193
194,38,3,58,9,Some Random Commen with Id 194
195,38,3,18,0,Some Random Commen with Id 195
196,38,3,119,3,Some Random Commen with Id 196
197,38,3,78,7,Some Random Commen with Id 197
198,39,3,150,1,Some Random Commen with Id 198
199,39,3,86,2,Some Random Commen with Id 199
200,39,3,159,3,Some Random Commen with Id 200
201,39,3,12,1,Some Random Commen with Id 201
202,39,3,172,6,Some Random Commen with Id 202
203,39,3,125,5,Some Random Commen with Id 203
204,39,3,197,6,Some Random Commen with Id 204
